title,avg_rating,rating_count,global_score
Star Wars (1977),4.3584905660377355,583,4.5509433962264145
Fargo (1996),4.155511811023622,508,4.215890857767993
Return of the Jedi (1983),4.007889546351085,507,4.109982373697903
"Godfather, The (1972)",4.283292978208232,413,4.060912288862401
Raiders of the Lost Ark (1981),4.252380952380952,420,4.057284162378502
"Silence of the Lambs, The (1991)",4.28974358974359,390,4.006251044552931
Contact (1997),3.8035363457760316,509,3.972080930893994
Schindler's List (1993),4.466442953020135,298,3.893233909309634
"Empire Strikes Back, The (1980)",4.204359673024523,367,3.887305630465365
Toy Story (1995),3.8783185840707963,452,3.877773266139437
